情感分析结果,评价倾向,商品评论
0.9933934212507953,喜欢,外观材质：100%可回收铝，轻，质感好
0.42265998754331624,一般,屏幕效果：原彩，120刷新率，非常清晰细腻
0.9633838480830215,喜欢,运行速度：A12X，速度很快，无论是打开APP还是切换APP
0.9847611060097056,喜欢,轻薄程度：很轻薄
0.4973482780857813,一般,其他特色：四声，有一些环绕的感觉，但和真正的音箱比还差的远，平时会用Bose耳机
0.6549255944775243,喜欢,哈哈，各位亲，我来写评价啦～
0.8921892203477413,喜欢,外观材质：薄，很薄，拿着特别舒服，全面屏，没有home键，全面屏的iPad pro，搭配apple pencil简直绝配了，太棒了。就是目前还不太会用，我慢慢摸索哈～
0.9982890582598978,喜欢,屏幕效果：屏幕没得说，我也不是专业的，总之特别棒，喜欢就好?
0.999990389361501,喜欢,运行速度：我买的256的，喜欢大一点内存，256百分百够用了，也不是专业人士，这配的已经很棒了，希望能好好爱惜吧
0.011826313832727364,不喜欢,其他特色：宝贝已经收到很久了哦～今天过来给写评价来了，非常非常高兴，很贵，很贵，嗯，没错，就是很贵，但是特别想买，就买了。买来说实话，不会用啊，很多东西都只能靠自己去摸索了，感觉在我手里都浪费了，暴遣天物了。买之前还想着干着干那的，现在到手里之后都发现不太会用，希望不会发生&ldquo;买前生产力，买后爱奇艺&rdquo;这种事，都浪费了我的平板，哈哈哈，为了防止这事，我连一个视频app都没有下载，我要买点好用的软件，好好利用它，不能对不起我的全新iPad
0.9805468160943878,喜欢,外观材质：金属外壳，非常有质感
0.9944280833434911,喜欢,屏幕效果：屏幕清晰细腻，显示效果完美，四个喇叭音质也很好
0.9957981082548825,喜欢,运行速度：速度没得说，打王者杠杠的
0.31793785009035347,不喜欢,其他特色：6月1日半价抢到的，仅此一台，感谢苹果和京东
0.9978269549971788,喜欢,轻薄程度：拿在手里非常轻薄，生怕掉地上了！
0.9903387929225496,喜欢,买了有一段时间了，使用下来的感觉就是性能非常强大，完全没有遇到不够用的情况，A12X非常给力，买了Apple pancle，延迟很低，手写感觉还可以，奈何画画水平一般，发挥不了他的全部能力。新更新的iPadOS解决了很多麻烦的问题，文件管理比以前强太多，也原生支持Xbox和PS4的手柄了，配合moonlight和remote play做游戏串流也更好用。
0.8001209340556947,喜欢,电脑上装duet，也能当pc和mac的副屏，用法超级多。
0.9999762304234109,喜欢,ipad pro 11质量非常好，非常好用，轻薄不重，外出携带方便，外观时尚漂亮，网速超快，使用效果非常好，超级满意和喜欢
0.9997835374021119,喜欢,这是我第一个iPad，为了工作就买了个好的，之前忘记评价了，目前已用两个月，很满意，平时很少玩手游，用来办公和画画都很棒，颜值很高。
0.9999999999999998,喜欢,全面屏的iPad pro确实还是惊艳到了，真的是完美的诠释了平板的平字，整个机身除了倒角没有任何的弧度，而且不到6mm的机身非常纤薄，整体也很简洁，很有质感。拿着它确实我感觉跟之前我拿过的任何产品感觉都不太一样，正如官方所说不管你怎么拿，都很趁手。好像也根本没有上下左右之分，怎么拿都是正的，也不用担心面容 ID的识别。整体非常硬朗，有棱有角，个人很喜欢，还是USB-C的接口很方便。性能很强劲，操作起来真的很流畅，也很简单。自适应刷新率和原彩显示技术的屏幕，真的很出色，看起来很细腻也很鲜艳。再有四扬声器的立体声设计，音效很棒，整体看视频的效果就不用说了。拓展接口还有与笔的搭配使用设计的也很棒。整体来说就是你用的时候，就很方便，续航能力也不错，确实是个出色的产品。
0.9937631706470474,喜欢,外观材质：ipad pro 2018作为新一代全面屏平板电脑，带来了更加强大的性能，是iPad最大的自我飞跃。11英寸ipad pro配备Liquid视网膜显示屏，全新的设计将其一直延伸到机身边缘，并集成面容ID功能。全身铝合金材质，很有金属质感，厚底比上代还薄，简直真香到不要不要的。
0.9725695671106265,喜欢,屏幕效果：Apple的TrueTone技术和120Hz的屏幕刷新率增加了体验质量，而HDR内容则细节丰富。与前几代平板电脑横向对比，较大屏幕的整体效果令人印象深刻。
0.9201630805932877,喜欢,运行速度：A12X处理器，可以处理笔记本级的任务，速度比2017年7月至2018年6月期间销售的大多数笔记本电脑都要快。
0.9998762092031022,喜欢,轻薄程度：采用全新人体工学设计语言，与前几代相比金属中框的边角显得更加圆润，不会出现割手情况，即使尺寸变得更大，但由于更轻更薄，握在手里并不感觉累。
0.970683163649914,喜欢,其他特色：USB-C口的运用，提供了更多生产力拓展可能性，比如外接各类设备、键盘、鼠标以及作为副屏使用，极大的方便了工作和学习。
0.9998965623684503,喜欢,外观材质：外观漂亮，没得说，颜值非常高~~
0.9992161901441491,喜欢,屏幕效果：屏幕很亮，很清晰，看上去很不错。
0.9998025462879496,喜欢,运行速度：A12x处理器，速度超快，非常流畅。
0.9035442895903956,喜欢,轻薄程度：机子很薄，拿到手里感觉特别好，感觉有一不小心就劲大把它折了一样，其实很结实哈~
0.9996260768298871,喜欢,其他特色：最近一段时间都是家里办公，电话、邮件，各种聊天工具~~内网、外网~~为了方便远程办公，买了这台pro11，太小合适，手感一流，还有开视频会议不要太爽~~**是远程办公辅助神器~~
0.9999172094037124,喜欢,外观材质：非常喜欢新款的外观，手感很棒
0.9060064091233134,喜欢,屏幕效果：显示的很清晰，观感质量很好
0.9984570072537206,喜欢,运行速度：内存足够，运行速度很快，软件启动也很快，操作顺滑
0.5016048013079176,一般,轻薄程度：和我的18款的iPad差不多，厚度相差没多少，重量虽然相对重了一些，但用用就习惯了
0.9985550974308282,喜欢,其他特色：非常喜欢这款iPad，看了一段时间，买来用了一段时间，总体感觉非常满意
